收支变化,总资产,变化详情
264,264,微笙计协上一学年剩余资产
-60,204,百团大战海报支出
50,254,百团大战海报报销
-15,239,数独比赛海报支出
,,郑林杭(2019-2020学年微笙无上计算机协会会长)对以上账目负责
,,吴嘉鹏(2019-2020学年微笙无上计算机协会管理部部长)对以上财政收支负责
